"model_id","name","north","south","east","west","lat","lng","scale","rotate","gps_mapping","color","zone_id"
"13","Guggenheim","47.6558633663866","47.6531315828111","-122.3045041581726","-122.308773994446","47.654259002876","-122.306520938873","0","0",,"B83D7A","16"
"14","Mechanical Engineering","47.6550033758597","47.6530737657414","-122.304010391235","-122.305684089661","47.6536085711938","-122.304975986481","0","0",,"2E8A5C","16"
"23","Uris Library","42.4480506028773","42.4472985122074","-76.4847564697266","-76.4859795570374","42.4476745575423","-76.485368013382","0","0",,"ff0000","17"
"22","AD White House","42.4484741447011","42.4480189360838","-76.4817309379578","-76.482130587101","42.4482465403925","-76.4819307625294","0","0",,"ff0000","17"
"24","McGraw Hall","42.4498714165781","42.4489689329245","-76.4849495887756","-76.4858937263489","42.4494201747513","-76.4854216575623","0","0",,"ff0000","17"
"34","Sage Chapel","42.4474608062213","42.4469739229183","-76.4840751886368","-76.4849013090134","42.4472173645698","-76.4844882488251","0","0",,"FF0000","17"
"33","Goldwin Smith Hall","42.4496853793451","42.448426644826","-76.4829862117767","-76.483935713768","42.4490560120856","-76.4834609627724","0","0",,"FF0000","17"
"32","Sage Hall","42.4467","42.445","-76.4823","-76.4842","42.4458853480963","-76.4833134412766","0","0",,"FF0000","17"
"31","Suzzallo","47.6564270499719","47.6548262325164","-122.307265891266","-122.309874809265","47.6557766412442","-122.308720350266","0","0",,"440099","16"
"30","Mary Gates (West Side)","47.6557043776085","47.654003371169","-122.30710341507","-122.308924198151","47.6549238743888","-122.30810880661","0","0",,"ff0000","16"
"35","ILR Conference Center","42.4474410142909","42.4464751604891","-76.4799231290817","-76.4803200960159","42.44695808739","-76.4801216125488","0","0",,"FF0000","17"
"38","Parrington House at Cowell","36.99699020385742","36.996177673339844","-122.05360412597656","-122.0548095703125","36.996585845947266","-122.05420684814453","0","0",,"ff0000","8"
"43","Trial CSE","47.654144287109375","47.65272521972656","-122.30510711669922","-122.3076400756836","47.65343475341797","-122.3063735961914","0","0",,"ff0000","4"
"44","Trial Mech Eng","47.654502868652344","47.65298843383789","-122.30437469482422","-122.3052978515625","47.65374755859375","-122.30484008789062","0","0",,"ff0000","4"
"45","Kresge Mural","36.997867584228516","36.99715805053711","-122.06549835205078","-122.06681823730469","36.99751281738281","-122.06615447998047","0","0",,"ff0000","8"
