"flag_id","model_id","latitude","longitude","omit","winning_team_id","winning_player_id","team1","team2","team3","team4","disputed","snapshot_id","collectable","collector"
"171","31","47.6562216459398","-122.30851635101901","0","3","0","0","0","116","0","1","0","0","0"
"172","10","47.6558848191451","-122.31249449802128","1","3","0","0","0","230","0","1","0","0","0"
"173","10","47.65548057910959","-122.31253483072986","0","0","0","0","0","66","0","1","0","0","0"
"174","10","47.65605942163941","-122.31185263218163","1","3","0","0","0","208","14","1","0","0","0"
"175","31","47.65543693471776","-122.30858770074683","0","4","0","0","70","14060","32058","0","0","0","0"
"176","30","47.65499685777383","-122.30867494727102","0","3","0","0","7","2603","919","0","0","0","0"
"177","30","47.65458576243811","-122.30819177778031","0","3","0","0","20","3151","1095","0","0","0","0"
"178","30","47.654702648687","-122.30797641568576","1","3","0","0","7","572","37","1","0","0","0"
"179","31","47.65547128691276","-122.3084552171452","0","4","0","0","30","13807","36172","0","0","0","0"
"180","31","47.655494567435454","-122.30831707415861","0","4","0","47","0","12314","49846","0","0","0","0"
"181","31","47.655298737790226","-122.30860158586755","1","4","0","0","30","2075","2617","0","0","0","0"
"182","31","47.65525507446241","-122.3087392807309","1","3","0","0","0","1676","1117","1","0","0","0"
"183","31","47.655120494687495","-122.30876387892728","1","4","0","0","0","379","778","1","0","0","0"
"184","12","47.654476753245135","-122.30519789465976","0","3","0","0","34","395","0","1","0","0","0"
"185","31","47.65545467678979","-122.30901023717419","1","3","0","14","0","2388","396","0","0","0","0"
"186","31","47.65509501689292","-122.30847944014879","0","4","0","0","7","2718","4474","0","0","0","0"
"187","31","47.65587454274697","-122.3090966747833","1","3","0","609","77","663","26","1","0","0","0"
"188","31","47.655589513639555","-122.30907438410658","1","3","0","0","0","510","113","1","0","0","0"
"189","31","47.65579206076391","-122.3095185399995","0","3","0","0","0","953","28","1","0","0","0"
"190","31","47.6553349251799","-122.30844736498595","1","4","0","0","0","2457","3158","0","0","0","0"
"191","6","47.65330170679345","-122.30676624201234","1","3","0","3442","75","18928","69","0","0","0","0"
"192","6","47.65335702632094","-122.3070517934147","1","3","0","0","0","806","0","1","0","0","0"
"193","6","47.65355644248477","-122.30730922155288","1","3","0","0","9","2036","0","0","0","0","0"
"194","6","47.65331106007812","-122.30691168934264","1","3","0","0","32","4409","11","0","0","0","0"
"195","31","47.65535200601682","-122.30828785727155","1","4","0","0","0","821","4134","0","0","0","0"
"196","31","47.655538847288724","-122.30818658999493","0","4","0","49","0","7972","50267","0","0","0","0"
"197","31","47.655761145661344","-122.30965340367206","0","3","0","0","0","1171","7","1","0","0","0"
"198","31","47.65560682744301","-122.3084874729207","1","4","0","31","0","186","311","1","0","0","0"
"199","31","47.65573291050354","-122.30908559217694","1","3","0","439","280","698","24","1","0","0","0"
"200","30","47.654848748461234","-122.30807329606672","1","3","0","0","0","437","93","1","0","0","0"
"201","30","47.65467486706181","-122.3084451204042","1","4","0","0","10","94","215","1","0","0","0"
"202","30","47.654358723490475","-122.30801868934532","1","3","0","0","65","6808","1866","0","0","0","0"
"203","13","47.65399235271179","-122.30663517633502","1","3","0","0","89","9683","1275","0","0","0","0"
"204","31","47.65610268526176","-122.30934249366112","1","3","0","0","0","272","28","1","0","0","0"
"205","31","47.655994542873174","-122.30887029591108","1","3","0","99","26","314","0","1","0","0","0"
"206","31","47.655425623369","-122.30916233922378","1","3","0","0","0","425","236","1","0","0","0"
"207","31","47.65561713419496","-122.30922003014605","1","3","0","0","68","118","9","1","0","0","0"
"208","31","47.6555741720681","-122.30804265315206","0","4","0","14","38","651","22783","0","0","0","0"
"209","31","47.656017439819976","-122.30917798329943","1","0","0","18","0","88","0","1","0","0","0"
"210","31","47.6562007470617","-122.30920298075104","1","0","0","0","0","31","8","1","0","0","0"
"211","13","47.65404557924228","-122.30630111326735","0","4","0","0","611","42573","107452","0","0","0","0"
"212","30","47.65439446824068","-122.30752126831705","0","3","0","25","15","32035","9344","0","0","0","0"
"213","30","47.65434711716892","-122.30769421235921","0","3","0","17","0","18107","8325","0","0","0","0"
"214","30","47.654380776185754","-122.3073867940646","0","3","0","11","0","33960","12746","0","0","0","0"
"215","30","47.654234076951745","-122.30778190549285","0","3","0","0","0","6510","4703","0","0","0","0"
"216","30","47.654153191733705","-122.30802391407008","1","3","0","0","0","1759","649","1","0","0","0"
"217","30","47.6541760128387","-122.30754271783942","1","3","0","0","0","1427","893","1","0","0","0"
"218","30","47.654344485424055","-122.30721243681874","0","4","0","0","0","33211","36930","0","0","0","0"
"219","30","47.6551267374321","-122.30828188259196","0","4","0","0","0","11154","29489","0","0","0","0"
"220","30","47.65516722722002","-122.30809909749061","0","4","0","0","0","17791","25720","0","0","0","0"
"221","30","47.65524649921396","-122.30783134588174","0","4","0","0","419","17468","27178","0","0","0","0"
"222","30","47.655175295586275","-122.3079573904201","0","4","0","0","0","14208","17106","0","0","0","0"
"223","30","47.654247672628834","-122.30818450250804","0","4","0","0","0","543","911","1","4000","0","0"
"224","30","47.6544742962056","-122.30716966679124","0","4","0","0","0","6181","29602","0","4071","0","0"
